epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.906,1.32209,2.85436,1.5304,0.40013,0.36341,0.30483,0.1784,1.44692,2.37673,1.69043,0.00332974,0.00332974,0.00332974
2,303.454,1.33063,2.20093,1.53892,0.39034,0.38958,0.31849,0.17464,1.55561,2.35787,1.76921,0.00659711,0.00659711,0.00659711
3,446.003,1.39147,2.18503,1.59099,0.30435,0.26661,0.19024,0.09177,1.72807,2.91656,1.99776,0.00979848,0.00979848,0.00979848
4,586.797,1.42755,2.15175,1.62444,0.4208,0.35651,0.32235,0.17355,1.65225,2.30915,1.87021,0.009703,0.009703,0.009703
5,726.126,1.3826,1.99564,1.59856,0.50798,0.38353,0.39889,0.23002,1.51574,2.14736,1.75214,0.009604,0.009604,0.009604
6,866.153,1.35423,1.90438,1.56467,0.47949,0.41425,0.40564,0.23658,1.53267,2.09281,1.75416,0.009505,0.009505,0.009505
7,1014.63,1.32047,1.818,1.54842,0.51197,0.43182,0.42942,0.25986,1.47902,1.95368,1.70356,0.009406,0.009406,0.009406
8,1176.07,1.31099,1.77547,1.53687,0.56654,0.43036,0.47441,0.28826,1.43603,1.70222,1.69025,0.009307,0.009307,0.009307
9,1338.08,1.29424,1.72139,1.52686,0.57839,0.47338,0.51296,0.32067,1.41344,1.58397,1.64322,0.009208,0.009208,0.009208
10,1500.03,1.26847,1.67765,1.50962,0.60929,0.45149,0.50722,0.3129,1.40572,1.6653,1.62892,0.009109,0.009109,0.009109
11,1661.29,1.26459,1.63172,1.50181,0.61012,0.47839,0.518,0.32464,1.40573,1.6033,1.61071,0.00901,0.00901,0.00901
12,1823.37,1.26838,1.60441,1.49885,0.61134,0.48406,0.5235,0.33698,1.32707,1.55539,1.57978,0.008911,0.008911,0.008911
13,1987.71,1.24735,1.5659,1.48745,0.63241,0.47888,0.53856,0.3467,1.34432,1.47246,1.56749,0.008812,0.008812,0.008812
14,2153.49,1.23744,1.54174,1.47611,0.65806,0.50996,0.5715,0.372,1.33958,1.41314,1.55786,0.008713,0.008713,0.008713
15,2318.05,1.23757,1.51425,1.47518,0.64495,0.50022,0.5602,0.36429,1.33588,1.39687,1.5679,0.008614,0.008614,0.008614
16,2480.47,1.22896,1.51404,1.4738,0.59593,0.52742,0.57508,0.36972,1.31674,1.36586,1.554,0.008515,0.008515,0.008515
17,2644.08,1.21692,1.48097,1.4631,0.62384,0.50769,0.56151,0.36221,1.32687,1.38306,1.57067,0.008416,0.008416,0.008416
18,2807.66,1.21169,1.47162,1.46353,0.66782,0.51041,0.58579,0.38413,1.29932,1.34942,1.5362,0.008317,0.008317,0.008317
19,2972.5,1.2178,1.45376,1.45789,0.66442,0.50918,0.58807,0.38586,1.28944,1.3251,1.53522,0.008218,0.008218,0.008218
20,3136.96,1.20428,1.42786,1.44917,0.64756,0.52433,0.58914,0.3851,1.2933,1.30389,1.52992,0.008119,0.008119,0.008119
21,3303.43,1.20108,1.42009,1.44776,0.69088,0.52346,0.61217,0.41022,1.27154,1.27661,1.50597,0.00802,0.00802,0.00802
22,3471.3,1.19131,1.41715,1.44429,0.68851,0.55187,0.62021,0.41107,1.26576,1.26655,1.48467,0.007921,0.007921,0.007921
23,3648.22,1.19203,1.4041,1.43811,0.68323,0.54638,0.62513,0.41854,1.26203,1.22125,1.4896,0.007822,0.007822,0.007822
24,3822.9,1.18391,1.37664,1.43739,0.67059,0.54963,0.62253,0.41582,1.26508,1.24848,1.4894,0.007723,0.007723,0.007723
25,3998.26,1.18199,1.36381,1.43217,0.69562,0.54556,0.62392,0.41939,1.25472,1.2002,1.48188,0.007624,0.007624,0.007624
26,4173,1.18845,1.35549,1.43112,0.66497,0.56218,0.62754,0.42219,1.25657,1.23028,1.47368,0.007525,0.007525,0.007525
27,4346.74,1.18061,1.35075,1.42683,0.69623,0.56439,0.64193,0.431,1.25959,1.17821,1.47443,0.007426,0.007426,0.007426
28,4523.34,1.16988,1.33382,1.42222,0.67073,0.56422,0.63366,0.42769,1.23502,1.18733,1.45126,0.007327,0.007327,0.007327
29,4698.16,1.1671,1.31817,1.41749,0.67476,0.57212,0.63846,0.43179,1.23499,1.17593,1.45188,0.007228,0.007228,0.007228
30,4872.72,1.17167,1.32139,1.42088,0.69541,0.57046,0.65088,0.44229,1.23409,1.15235,1.4596,0.007129,0.007129,0.007129
31,5048.84,1.15209,1.3028,1.41277,0.7004,0.56992,0.65073,0.44257,1.22553,1.14795,1.45113,0.00703,0.00703,0.00703
32,5223.94,1.15537,1.28327,1.40919,0.68654,0.57685,0.64678,0.43807,1.23654,1.12654,1.44895,0.006931,0.006931,0.006931
33,5402.26,1.15768,1.28952,1.41176,0.68908,0.57857,0.65489,0.44802,1.21224,1.12776,1.43262,0.006832,0.006832,0.006832
34,5552.15,1.14878,1.27598,1.40717,0.70202,0.58286,0.65792,0.45156,1.21413,1.11855,1.4362,0.006733,0.006733,0.006733
35,5691.27,1.151,1.2685,1.40472,0.70969,0.56997,0.65709,0.45019,1.21402,1.12631,1.42967,0.006634,0.006634,0.006634
36,5831.6,1.14267,1.26125,1.39683,0.70421,0.59041,0.66446,0.45411,1.20524,1.11306,1.42445,0.006535,0.006535,0.006535
37,5975.02,1.1389,1.249,1.39848,0.69415,0.59279,0.66292,0.45351,1.21434,1.1085,1.42638,0.006436,0.006436,0.006436
38,6118.41,1.14709,1.24258,1.3996,0.69493,0.59933,0.66768,0.45845,1.20683,1.08849,1.42461,0.006337,0.006337,0.006337
39,6264.18,1.12553,1.22024,1.3898,0.69737,0.6059,0.67108,0.46196,1.20481,1.07712,1.42063,0.006238,0.006238,0.006238
40,6413.58,1.13132,1.22379,1.3921,0.69945,0.59224,0.66797,0.45882,1.20194,1.07455,1.42079,0.006139,0.006139,0.006139
41,6565.4,1.13455,1.2164,1.38925,0.71483,0.5935,0.67292,0.4635,1.19774,1.07651,1.41435,0.00604,0.00604,0.00604
42,6712.54,1.14417,1.21049,1.39364,0.71176,0.59472,0.67579,0.46443,1.19708,1.07143,1.41465,0.005941,0.005941,0.005941
43,6862.43,1.13012,1.20537,1.3874,0.7095,0.60523,0.67647,0.46581,1.19511,1.06486,1.40703,0.005842,0.005842,0.005842
44,7004.48,1.13,1.18703,1.37985,0.70878,0.60772,0.67999,0.46822,1.19409,1.06561,1.40605,0.005743,0.005743,0.005743
45,7154.28,1.12929,1.19373,1.37872,0.70392,0.61203,0.67877,0.4701,1.18829,1.05684,1.40205,0.005644,0.005644,0.005644
46,7306.02,1.11045,1.18664,1.38033,0.71115,0.60445,0.67922,0.46996,1.18524,1.04788,1.40161,0.005545,0.005545,0.005545
47,7453.78,1.11479,1.16849,1.37491,0.7136,0.60846,0.68351,0.47423,1.1833,1.04145,1.39834,0.005446,0.005446,0.005446
48,7600.93,1.12197,1.17165,1.37673,0.7196,0.60817,0.68443,0.47593,1.18033,1.03524,1.39461,0.005347,0.005347,0.005347
49,7747.67,1.11164,1.15501,1.37164,0.71895,0.6071,0.686,0.47682,1.17784,1.03235,1.39145,0.005248,0.005248,0.005248
50,7894.85,1.10834,1.15641,1.36999,0.73445,0.60413,0.6869,0.47732,1.17702,1.03114,1.3916,0.005149,0.005149,0.005149
51,8042.87,1.10131,1.1435,1.36701,0.72993,0.60909,0.68765,0.47752,1.17268,1.02857,1.38664,0.00505,0.00505,0.00505
52,8190.1,1.11576,1.14459,1.36448,0.72858,0.6094,0.68893,0.47988,1.17088,1.02605,1.38407,0.004951,0.004951,0.004951
53,8337.79,1.09794,1.13525,1.36115,0.72038,0.61539,0.6894,0.4797,1.1725,1.02415,1.38519,0.004852,0.004852,0.004852
54,8485.53,1.1014,1.13076,1.36345,0.70749,0.62289,0.69168,0.48248,1.17026,1.0196,1.38291,0.004753,0.004753,0.004753
55,8640.75,1.09254,1.11603,1.35952,0.71858,0.61759,0.69101,0.48287,1.16829,1.01731,1.38084,0.004654,0.004654,0.004654
56,8802.58,1.09321,1.11452,1.35824,0.72442,0.61633,0.69215,0.484,1.16743,1.01506,1.38041,0.004555,0.004555,0.004555
57,8964.36,1.08263,1.10039,1.34877,0.72902,0.61869,0.69295,0.48451,1.16721,1.0127,1.37929,0.004456,0.004456,0.004456
