epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2426,1.4084,2.37812,1.49499,0.30499,0.27158,0.23517,0.13072,1.54347,2.04543,1.6033,0.000332606,0.000332606,0.000332606
2,131.915,1.41797,1.96358,1.51547,0.38062,0.28719,0.2715,0.15745,1.55676,1.98966,1.66014,0.000652753,0.000652753,0.000652753
3,194.56,1.43355,1.87885,1.5222,0.3063,0.27932,0.2335,0.1278,1.59897,2.00315,1.65748,0.000959701,0.000959701,0.000959701
4,264.856,1.40629,1.79229,1.51653,0.39289,0.29415,0.28397,0.1632,1.54685,1.90574,1.62802,0.0009406,0.0009406,0.0009406
5,333.382,1.39205,1.70969,1.49551,0.3738,0.33428,0.32564,0.18969,1.47001,1.6513,1.55446,0.0009208,0.0009208,0.0009208
6,404.247,1.36716,1.63263,1.47865,0.43648,0.33614,0.35432,0.21798,1.4339,1.6413,1.55636,0.000901,0.000901,0.000901
7,475.52,1.33865,1.61042,1.46648,0.40901,0.36444,0.35325,0.21533,1.44942,1.57098,1.52861,0.0008812,0.0008812,0.0008812
8,545.627,1.331,1.5486,1.45644,0.45954,0.36914,0.38951,0.25196,1.34065,1.5016,1.47519,0.0008614,0.0008614,0.0008614
9,614.587,1.3231,1.50716,1.4483,0.4448,0.37456,0.38773,0.2358,1.39846,1.49906,1.49629,0.0008416,0.0008416,0.0008416
10,684.974,1.32102,1.50873,1.44771,0.45304,0.33424,0.35079,0.21637,1.39482,1.66866,1.49378,0.0008218,0.0008218,0.0008218
11,755.151,1.29922,1.45414,1.42899,0.41214,0.37796,0.36259,0.22177,1.38023,1.58615,1.48996,0.000802,0.000802,0.000802
12,826.065,1.29201,1.4353,1.42511,0.49296,0.39444,0.43437,0.27892,1.36108,1.39138,1.45951,0.0007822,0.0007822,0.0007822
13,896.503,1.27586,1.39786,1.41647,0.51258,0.36118,0.40872,0.25939,1.35746,1.45845,1.4798,0.0007624,0.0007624,0.0007624
14,965.057,1.28758,1.39388,1.4138,0.4875,0.40417,0.43219,0.27871,1.3228,1.33575,1.43218,0.0007426,0.0007426,0.0007426
15,1032.89,1.2772,1.36855,1.40984,0.49739,0.37905,0.40476,0.268,1.29664,1.37309,1.42308,0.0007228,0.0007228,0.0007228
16,1104.93,1.26272,1.33755,1.39881,0.51607,0.39064,0.44178,0.28999,1.27693,1.30529,1.42498,0.000703,0.000703,0.000703
17,1173.39,1.25153,1.34026,1.40244,0.50878,0.3865,0.42995,0.28229,1.27876,1.32716,1.40911,0.0006832,0.0006832,0.0006832
18,1241.78,1.24412,1.31016,1.39072,0.52818,0.40413,0.4505,0.29531,1.29524,1.30226,1.4206,0.0006634,0.0006634,0.0006634
19,1311.09,1.23398,1.29835,1.38487,0.53069,0.41547,0.46042,0.30918,1.2668,1.27508,1.42231,0.0006436,0.0006436,0.0006436
20,1379.34,1.23347,1.27846,1.38551,0.52721,0.40327,0.44116,0.29284,1.27007,1.32527,1.40864,0.0006238,0.0006238,0.0006238
21,1448.49,1.23454,1.27317,1.38335,0.53422,0.40713,0.45941,0.30216,1.28316,1.29024,1.40819,0.000604,0.000604,0.000604
22,1518.3,1.24232,1.26719,1.38231,0.5067,0.44188,0.46552,0.31103,1.23786,1.24634,1.38441,0.0005842,0.0005842,0.0005842
23,1586.87,1.24454,1.23575,1.3795,0.51686,0.42481,0.46535,0.31538,1.25345,1.27208,1.39243,0.0005644,0.0005644,0.0005644
24,1655.68,1.20099,1.21978,1.36069,0.54579,0.42585,0.48318,0.32794,1.22788,1.21736,1.37515,0.0005446,0.0005446,0.0005446
25,1725.44,1.20276,1.20785,1.36187,0.56711,0.41797,0.4832,0.32109,1.26354,1.20927,1.39229,0.0005248,0.0005248,0.0005248
26,1795.67,1.20499,1.19416,1.36027,0.53687,0.42676,0.48237,0.31852,1.27313,1.21158,1.38893,0.000505,0.000505,0.000505
27,1865.04,1.2042,1.18699,1.35798,0.54157,0.43387,0.48446,0.32174,1.25329,1.21696,1.38501,0.0004852,0.0004852,0.0004852
28,1935.29,1.20815,1.17131,1.35413,0.56342,0.42587,0.48672,0.32918,1.23992,1.19471,1.36734,0.0004654,0.0004654,0.0004654
29,2005.42,1.20868,1.17482,1.35649,0.54493,0.44271,0.48171,0.32298,1.24072,1.17859,1.36785,0.0004456,0.0004456,0.0004456
