epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.0977,1.41888,2.54469,1.50999,0.31978,0.2859,0.27246,0.15008,1.5033,2.01626,1.59252,0.000332606,0.000332606,0.000332606
2,182.692,1.42736,1.96711,1.52521,0.29734,0.28187,0.23069,0.11985,1.58498,2.26922,1.67034,0.000652753,0.000652753,0.000652753
3,268.295,1.43108,1.88305,1.52903,0.3648,0.28611,0.26699,0.15258,1.57028,1.89663,1.68596,0.000959701,0.000959701,0.000959701
4,356.468,1.41184,1.79196,1.52634,0.33833,0.28748,0.27783,0.16523,1.47532,1.82615,1.61109,0.0009406,0.0009406,0.0009406
5,440.137,1.38961,1.70776,1.50589,0.34186,0.33548,0.33292,0.19797,1.45773,1.64919,1.56582,0.0009208,0.0009208,0.0009208
6,523.77,1.36611,1.61648,1.48628,0.42274,0.32412,0.33228,0.19852,1.4253,1.73473,1.55492,0.000901,0.000901,0.000901
7,605.909,1.33273,1.60259,1.47341,0.38078,0.3257,0.3356,0.20811,1.42926,1.60338,1.53879,0.0008812,0.0008812,0.0008812
8,689.226,1.32683,1.55033,1.46445,0.43744,0.33261,0.35381,0.22027,1.37812,1.64322,1.51072,0.0008614,0.0008614,0.0008614
9,772.769,1.32186,1.4968,1.45527,0.42074,0.38173,0.37284,0.22821,1.36304,1.46792,1.46379,0.0008416,0.0008416,0.0008416
10,855.853,1.31851,1.49665,1.45097,0.48082,0.33697,0.37108,0.23076,1.37953,1.50216,1.50551,0.0008218,0.0008218,0.0008218
11,939.703,1.29873,1.43711,1.43308,0.48827,0.37973,0.3957,0.2468,1.31459,1.43686,1.43807,0.000802,0.000802,0.000802
12,1022.86,1.29424,1.42717,1.43186,0.49487,0.39541,0.4433,0.28639,1.31797,1.33792,1.42977,0.0007822,0.0007822,0.0007822
13,1106.82,1.27723,1.38974,1.41831,0.51099,0.38843,0.43886,0.28386,1.32088,1.29396,1.43416,0.0007624,0.0007624,0.0007624
14,1189.46,1.28702,1.38629,1.41962,0.4936,0.40662,0.41547,0.26561,1.31444,1.32956,1.43888,0.0007426,0.0007426,0.0007426
15,1271.66,1.27674,1.35852,1.41348,0.43701,0.38633,0.36656,0.24334,1.27816,1.4656,1.41054,0.0007228,0.0007228,0.0007228
16,1353.14,1.26348,1.31834,1.40214,0.49114,0.38875,0.42571,0.28028,1.28261,1.28985,1.42735,0.000703,0.000703,0.000703
17,1436.11,1.25096,1.33446,1.40994,0.50457,0.40599,0.443,0.28586,1.29265,1.27806,1.41952,0.0006832,0.0006832,0.0006832
